,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Sport_Rank,Has_Previous_Medal
183436,4152,Cyril Tommasone,M,25.0,171.0,63.0,France,FRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
183437,4153,Cyril Tommasone,M,25.0,171.0,63.0,France,FRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
183438,4154,Cyril Tommasone,M,25.0,171.0,63.0,France,FRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
183439,4155,Cyril Tommasone,M,25.0,171.0,63.0,France,FRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,False
183440,4156,Cyril Tommasone,M,25.0,171.0,63.0,France,FRA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
183441,4157,Cyril Tommasone,M,29.0,171.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,,14,False
183442,4158,Cyril Tommasone,M,29.0,171.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
183443,4159,Cyril Tommasone,M,29.0,171.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
183444,4160,Cyril Tommasone,M,29.0,171.0,63.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
184194,4161,Yvonne Natalie Tousek,F,20.0,160.0,47.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
184195,4162,Yvonne Natalie Tousek,F,20.0,160.0,47.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,,14,False
184196,4163,Yvonne Natalie Tousek,F,20.0,160.0,47.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
184197,4164,Yvonne Natalie Tousek,F,20.0,160.0,47.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,,14,False
184198,4165,Yvonne Natalie Tousek,F,20.0,160.0,47.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
184199,4166,Yvonne Natalie Tousek,F,20.0,160.0,47.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,,14,False
184302,4167,Sean Lanier Townsend,M,21.0,161.0,62.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
184303,4168,Sean Lanier Townsend,M,21.0,161.0,62.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,,14,False
184304,4169,Sean Lanier Townsend,M,21.0,161.0,62.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
184305,4170,Sean Lanier Townsend,M,21.0,161.0,62.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,,14,False
184306,4171,Sean Lanier Townsend,M,21.0,161.0,62.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
184307,4172,Sean Lanier Townsend,M,21.0,161.0,62.0,United States,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
184641,4173,Dmitrijs Trefilovs,M,25.0,169.0,63.0,Latvia,LAT,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
184642,4174,Dmitrijs Trefilovs,M,25.0,169.0,63.0,Latvia,LAT,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
184643,4175,Dmitrijs Trefilovs,M,25.0,169.0,63.0,Latvia,LAT,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
184644,4176,Dmitrijs Trefilovs,M,25.0,169.0,63.0,Latvia,LAT,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
184645,4177,Dmitrijs Trefilovs,M,25.0,169.0,63.0,Latvia,LAT,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,False
184646,4178,Dmitrijs Trefilovs,M,25.0,169.0,63.0,Latvia,LAT,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
185337,4179,Aleksandr Petrovich Tsarevich,M,21.0,175.0,65.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
185338,4180,Aleksandr Petrovich Tsarevich,M,21.0,175.0,65.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,,14,False
185339,4181,Aleksandr Petrovich Tsarevich,M,21.0,175.0,65.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
185340,4182,Aleksandr Petrovich Tsarevich,M,21.0,175.0,65.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
185341,4183,Aleksandr Petrovich Tsarevich,M,21.0,175.0,65.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
185342,4184,Aleksandr Petrovich Tsarevich,M,21.0,175.0,65.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
185384,4185,Rene Tschernitschek,M,23.0,179.0,73.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
185385,4186,Rene Tschernitschek,M,23.0,179.0,73.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,,14,False
185386,4187,Rene Tschernitschek,M,23.0,179.0,73.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
185387,4188,Rene Tschernitschek,M,23.0,179.0,73.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,,14,False
185388,4189,Rene Tschernitschek,M,23.0,179.0,73.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
185389,4190,Rene Tschernitschek,M,23.0,179.0,73.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,,14,False
185540,4191,Vasilis Tsolakidis,M,32.0,176.0,70.0,Greece,GRE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
185653,4192,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
185654,4193,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,,14,False
185655,4194,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
185656,4195,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,,14,False
185657,4196,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
185658,4197,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
185659,4198,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Rings,,14,False
185660,4199,Naoya Tsukahara,M,23.0,166.0,64.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
185661,4200,Naoya Tsukahara,M,27.0,166.0,64.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
185662,4201,Naoya Tsukahara,M,27.0,166.0,64.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold,14,False
185663,4202,Naoya Tsukahara,M,27.0,166.0,64.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
185664,4203,Naoya Tsukahara,M,27.0,166.0,64.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,,14,False
185665,4204,Naoya Tsukahara,M,27.0,166.0,64.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
185666,4205,Naoya Tsukahara,M,27.0,166.0,64.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Rings,,14,False
185667,4206,Naoya Tsukahara,M,27.0,166.0,64.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
185707,4207,Koko Tsurumi,F,15.0,141.0,34.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
185708,4208,Koko Tsurumi,F,15.0,141.0,34.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
185709,4209,Koko Tsurumi,F,15.0,141.0,34.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
185710,4210,Koko Tsurumi,F,15.0,141.0,34.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
185711,4211,Koko Tsurumi,F,15.0,141.0,34.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
185712,4212,Koko Tsurumi,F,19.0,141.0,34.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,,14,False
185713,4213,Koko Tsurumi,F,19.0,141.0,34.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186034,4214,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
186035,4215,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,,14,False
186036,4216,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
186037,4217,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186038,4218,Rebecca Naomi Tunney,F,15.0,149.0,35.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,14,False
186345,4219,Seda Gurgenovna Tutkhalyan,F,17.0,146.0,43.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
186346,4220,Seda Gurgenovna Tutkhalyan,F,17.0,146.0,43.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Silver,14,False
186347,4221,Seda Gurgenovna Tutkhalyan,F,17.0,146.0,43.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
186348,4222,Seda Gurgenovna Tutkhalyan,F,17.0,146.0,43.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,,14,False
186349,4223,Seda Gurgenovna Tutkhalyan,F,17.0,146.0,43.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186350,4224,Seda Gurgenovna Tutkhalyan,F,17.0,146.0,43.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
186408,4225,Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
186409,4226,Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
186410,4227,Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,,14,False
186411,4228,Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
186412,4229,Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
186413,4230,Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,False
186414,4231,Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
186432,4232,"Elizabeth Kimberly ""Beth"" Tweddle",F,19.0,159.0,52.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
186433,4233,"Elizabeth Kimberly ""Beth"" Tweddle",F,19.0,159.0,52.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,,14,False
186434,4234,"Elizabeth Kimberly ""Beth"" Tweddle",F,19.0,159.0,52.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
186435,4235,"Elizabeth Kimberly ""Beth"" Tweddle",F,19.0,159.0,52.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,14,False
186436,4236,"Elizabeth Kimberly ""Beth"" Tweddle",F,19.0,159.0,52.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186437,4237,"Elizabeth Kimberly ""Beth"" Tweddle",F,19.0,159.0,52.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,,14,False
186438,4238,"Elizabeth Kimberly ""Beth"" Tweddle",F,23.0,159.0,52.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
186439,4239,"Elizabeth Kimberly ""Beth"" Tweddle",F,23.0,159.0,52.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
186440,4240,"Elizabeth Kimberly ""Beth"" Tweddle",F,23.0,159.0,52.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
186441,4241,"Elizabeth Kimberly ""Beth"" Tweddle",F,23.0,159.0,52.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186442,4242,"Elizabeth Kimberly ""Beth"" Tweddle",F,27.0,159.0,52.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,,14,False
186443,4243,"Elizabeth Kimberly ""Beth"" Tweddle",F,27.0,159.0,52.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
186444,4244,"Elizabeth Kimberly ""Beth"" Tweddle",F,27.0,159.0,52.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,Bronze,14,False
186526,4245,Halina Tyryk,F,20.0,158.0,46.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
186527,4246,Halina Tyryk,F,20.0,158.0,46.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,,14,False
186528,4247,Halina Tyryk,F,20.0,158.0,46.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
186529,4248,Halina Tyryk,F,20.0,158.0,46.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,,14,False
186530,4249,Halina Tyryk,F,20.0,158.0,46.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186531,4250,Halina Tyryk,F,20.0,158.0,46.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,,14,False
186646,4251,Kohei Uchimura,M,19.0,160.0,54.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,Silver,14,False
186647,4252,Kohei Uchimura,M,19.0,160.0,54.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Silver,14,False
186648,4253,Kohei Uchimura,M,19.0,160.0,54.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
186649,4254,Kohei Uchimura,M,19.0,160.0,54.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,,14,False
186650,4255,Kohei Uchimura,M,19.0,160.0,54.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,,14,False
186651,4256,Kohei Uchimura,M,19.0,160.0,54.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,,14,False
186652,4257,Kohei Uchimura,M,19.0,160.0,54.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,,14,False
186653,4258,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Gold,14,True
186654,4259,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver,14,True
186655,4260,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Silver,14,True
186656,4261,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,14,True
186657,4262,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,14,True
186658,4263,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,14,True
186659,4264,Kohei Uchimura,M,23.0,160.0,54.0,Japan,JPN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,14,True
186660,4265,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Gold,14,True
186661,4266,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Gold,14,True
186662,4267,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,,14,True
186663,4268,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,,14,True
186664,4269,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,,14,True
186665,4270,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,,14,True
186666,4271,Kohei Uchimura,M,27.0,160.0,54.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,True
186687,4272,Yuki Uchiyama,F,18.0,159.0,49.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,,14,False
186688,4273,Yuki Uchiyama,F,18.0,159.0,49.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186689,4274,Yuki Uchiyama,F,18.0,159.0,49.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,,14,False
186693,4275,Gksu ta (-anl),F,21.0,159.0,48.0,Turkey,TUR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,14,False
186705,4276,Filip Ude,M,22.0,170.0,68.0,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,14,False
186706,4277,Filip Ude,M,22.0,170.0,68.0,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,,14,False
186707,4278,Filip Ude,M,22.0,170.0,68.0,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,14,False
186708,4279,Filip Ude,M,26.0,170.0,68.0,Croatia,CRO,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,14,True
186709,4280,Filip Ude,M,30.0,170.0,68.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,,14,True
186792,4281,Miki Uemura,F,22.0,149.0,38.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
186793,4282,Miki Uemura,F,22.0,149.0,38.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,14,False
186794,4283,Miki Uemura,F,22.0,149.0,38.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
186795,4284,Miki Uemura,F,22.0,149.0,38.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
186796,4285,Miki Uemura,F,22.0,149.0,38.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,14,False
187441,4286,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
187442,4287,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
187443,4288,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
187444,4289,Annika Urvikko,F,21.0,157.0,57.0,Finland,FIN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,14,False
187459,4290,Marius Daniel Urzic,M,24.0,163.0,57.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,,14,True
187460,4291,Marius Daniel Urzic,M,24.0,163.0,57.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,,14,True
187461,4292,Marius Daniel Urzic,M,24.0,163.0,57.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,,14,True
187462,4293,Marius Daniel Urzic,M,24.0,163.0,57.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horizontal Bar,,14,True
187463,4294,Marius Daniel Urzic,M,24.0,163.0,57.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,14,True
187464,4295,Marius Daniel Urzic,M,28.0,163.0,57.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,,14,True
187465,4296,Marius Daniel Urzic,M,28.0,163.0,57.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Bronze,14,True
187466,4297,Marius Daniel Urzic,M,28.0,163.0,57.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,,14,True
187467,4298,Marius Daniel Urzic,M,28.0,163.0,57.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,,14,True
187468,4299,Marius Daniel Urzic,M,28.0,163.0,57.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,14,True
187789,4300,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
187790,4301,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,,14,False
187791,4302,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
187792,4303,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Horse Vault,,14,False
187793,4304,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,,14,False
187794,4305,Kristina Vaculik,F,20.0,149.0,39.0,Canada,CAN,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,,14,False
188116,4306,Ailen Valente,F,20.0,167.0,58.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,,14,False
188117,4307,Ailen Valente,F,20.0,167.0,58.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,,14,False
